organism,assembly
A. gambiae,"['anoGam1', 'anoGam3']"
A. mellifera,"['apiMel1', 'apiMel2']"
African clawed frog,['xenLae2']
Alpaca,"['vicPac1', 'vicPac2']"
American alligator,['allMis1']
Armadillo,['dasNov3']
Atlantic cod,['gadMor1']
Baboon,"['papAnu2', 'papAnu4', 'papHam1']"
Bison,['bisBis1']
Bonobo,"['panPan1', 'panPan2', 'panPan3']"
Brown kiwi,['aptMan1']
Budgerigar,['melUnd1']
Bushbaby,['otoGar3']
C. brenneri,"['caePb1', 'caePb2']"
C. briggsae,"['cb1', 'cb3']"
C. elegans,"['ce10', 'ce11', 'ce2', 'ce4', 'ce6']"
C. intestinalis,"['ci1', 'ci2', 'ci3']"
C. japonica,['caeJap1']
C. remanei,"['caeRem2', 'caeRem3']"
Cat,"['felCat3', 'felCat4', 'felCat5', 'felCat8', 'felCat9']"
Chicken,"['galGal2', 'galGal3', 'galGal4', 'galGal5', 'galGal6']"
Chimp,"['panTro1', 'panTro2', 'panTro3', 'panTro4', 'panTro5', 'panTro6']"
Chinese hamster,"['criGri1', 'criGriChoV1', 'criGriChoV2']"
Chinese pangolin,['manPen1']
Coelacanth,['latCha1']
Cow,"['bosTau2', 'bosTau3', 'bosTau4', 'bosTau6', 'bosTau7', 'bosTau8', 'bosTau9']"
Crab-eating macaque,['macFas5']
D. ananassae,"['droAna1', 'droAna2']"
D. erecta,['droEre1']
D. grimshawi,['droGri1']
D. melanogaster,"['dm1', 'dm2', 'dm3', 'dm6']"
D. mojavensis,"['droMoj1', 'droMoj2']"
D. persimilis,['droPer1']
D. pseudoobscura,"['dp2', 'dp3']"
D. sechellia,['droSec1']
D. simulans,['droSim1']
D. virilis,"['droVir1', 'droVir2']"
D. yakuba,"['droYak1', 'droYak2']"
Dog,"['canFam1', 'canFam2', 'canFam3', 'canFam4', 'canFam5', 'canFam6']"
Dolphin,['turTru2']
Ebola virus,['eboVir3']
Elephant,['loxAfr3']
Elephant shark,['calMil1']
Ferret ,['musFur1']
Fugu,"['fr1', 'fr2', 'fr3']"
Garter snake,['thaSir1']
Gibbon,"['nomLeu1', 'nomLeu2', 'nomLeu3']"
Golden eagle,['aquChr2']
Golden snub-nosed monkey,['rhiRox1']
Gorilla,"['gorGor3', 'gorGor4', 'gorGor5', 'gorGor6']"
Green monkey,['chlSab2']
Guinea pig,['cavPor3']
Hawaiian monk seal,['neoSch1']
Hedgehog,"['eriEur1', 'eriEur2']"
Horse,"['equCab1', 'equCab2', 'equCab3']"
Human,"['hg16', 'hg17', 'hg18', 'hg19', 'hg38', 'hs1']"
Kangaroo rat,['dipOrd1']
Lamprey,"['petMar1', 'petMar2', 'petMar3']"
Lancelet,['braFlo1']
Lizard,"['anoCar1', 'anoCar2']"
Malayan flying lemur,['galVar1']
Manatee,['triMan1']
Marmoset,"['calJac1', 'calJac3', 'calJac4']"
Medaka,['oryLat2']
Medium ground finch,['geoFor1']
Megabat,['pteVam1']
Minke whale,['balAcu1']
Monkeypox virus,['mpxvRivers']
Mouse,"['mm10', 'mm39', 'mm7', 'mm8', 'mm9']"
Mouse lemur,"['micMur1', 'micMur2']"
Naked mole-rat,"['hetGla1', 'hetGla2']"
Nile tilapia,['oreNil2']
Opossum,"['monDom1', 'monDom4', 'monDom5']"
Orangutan,"['ponAbe2', 'ponAbe3']"
P. pacificus,['priPac1']
Painted turtle,['chrPic1']
Panda,['ailMel1']
Pig,"['susScr11', 'susScr2', 'susScr3']"
Pika,"['ochPri2', 'ochPri3']"
Platypus,"['ornAna1', 'ornAna2']"
Proboscis monkey,['nasLar1']
Rabbit,['oryCun2']
Rat,"['rn3', 'rn4', 'rn5', 'rn6', 'rn7']"
Rhesus,"['rheMac10', 'rheMac2', 'rheMac3', 'rheMac8']"
Rock hyrax,['proCap1']
S. cerevisiae,"['sacCer1', 'sacCer2', 'sacCer3']"
S. purpuratus,"['strPur1', 'strPur2']"
SARS-CoV-2,['wuhCor1']
Sea hare,['aplCal1']
Sheep,"['oviAri1', 'oviAri3', 'oviAri4']"
Shrew,"['sorAra1', 'sorAra2']"
Sloth,['choHof1']
Southern sea otter,['enhLutNer1']
Squirrel,['speTri2']
Squirrel monkey,['saiBol1']
Stickleback,['gasAcu1']
Tarsier,"['tarSyr1', 'tarSyr2']"
Tasmanian devil,['sarHar1']
Tenrec,"['echTel1', 'echTel2']"
Tetraodon,"['tetNig1', 'tetNig2']"
Tibetan frog,['nanPar1']
Tree shrew,['tupBel1']
Turkey,"['melGal1', 'melGal5']"
Wallaby,['macEug2']
White rhinoceros,['cerSim1']
X. tropicalis,"['xenTro1', 'xenTro10', 'xenTro2', 'xenTro3', 'xenTro7', 'xenTro9']"
Zebra finch,"['taeGut1', 'taeGut2']"
Zebrafish,"['danRer10', 'danRer11', 'danRer3', 'danRer4', 'danRer5', 'danRer6', 'danRer7']"
